DamageAether	Aether
DamageBasePhysical	Physical
DamageBonusPhysical	Physical
DamageChaos	Chaos
DamageCold	Cold
DamageDurationBleeding	Bleeding
DamageDurationCold	Frostburn
DamageDurationElemental	Elemental
DamageDurationFire	Burn
DamageDurationLife	Decay
DamageDurationLightning	Electrocute
DamageDurationModifierBleeding	Bleeding
DamageDurationModifierCold	Frostburn
DamageDurationModifierFire	Burn
DamageDurationModifierLife	Decay
DamageDurationModifierLightning	Electrocute
DamageDurationModifierPhysical	Trauma
DamageDurationModifierPoison	Poison
DamageDurationPhysical	Trauma
DamageDurationPoison	Poison
DamageElemental	Elemental
DamageFire	Fire
DamageLife	Vitality
DamageLightning	Lightning
DamageModifierAether	Aether
DamageModifierAetherR	Aether
DamageModifierChaos	Chaos
DamageModifierChaosR	Chaos
DamageModifierCold	Cold
DamageModifierColdR	Cold
DamageModifierElemental	Elemental
DamageModifierElementalR	Elemental
DamageModifierFire	Fire
DamageModifierFireR	Fire
DamageModifierLife	Vitality
DamageModifierLifeR	Vitality
DamageModifierLightning	Lightning
DamageModifierLightningR	Lightning
DamageModifierPhysical	Physical
DamageModifierPhysicalR	Physical
DamageModifierPierce	Pierce
DamageModifierPierceR	Pierce
DamageModifierPoison	Acid
DamageModifierPoisonR	Acid
DamagePhysical	Physical
DamagePhysicalChance	Physical
DamagePierce	Pierce
DamagePoison	Acid
DefenseAether	Aether
DefenseAetherMaxResist	Aether
DefenseAetherMaxResistR	Aether
DefenseAetherModifier	Aether
DefenseAetherR	Aether
DefenseBleeding	Bleeding
DefenseBleedingDuration	Bleeding
DefenseBleedingMaxResist	Bleeding
DefenseBleedingMaxResistR	Bleeding
DefenseBleedingModifier	Bleeding
DefenseBleedingR	Bleeding
DefenseChaos	Chaos
DefenseChaosMaxResist	Chaos
DefenseChaosMaxResistR	Chaos
DefenseChaosModifier	Chaos
DefenseChaosR	Chaos
DefenseCold	Cold
DefenseColdDuration	Frostburn
DefenseColdDurationModifier	Frostburn
DefenseColdMaxResist	Cold
DefenseColdMaxResistR	Cold
DefenseColdModifier	Cold
DefenseColdR	Cold
DefenseElementalMaxResist	Elemental
DefenseElementalMaxResistR	Elemental
DefenseElementalModifier	Elemental
DefenseElementalResistance	Elemental
DefenseElementalResistanceR	Elemental
DefenseFire	Fire
DefenseFireDuration	Burn
DefenseFireDurationModifier	Burn
DefenseFireMaxResist	Fire
DefenseFireMaxResistR	Fire
DefenseFireModifier	Fire
DefenseFireR	Fire
DefenseLife	Vitality
DefenseLifeDuration	Decay
DefenseLifeDurationModifier	Decay
DefenseLifeMaxResist	Vitality
DefenseLifeMaxResistR	Vitality
DefenseLifeModifier	Vitality
DefenseLifeR	Vitality
DefenseLightning	Lightning
DefenseLightningDuration	Electrocute
DefenseLightningDurationModifier	Electrocute
DefenseLightningMaxResist	Lightning
DefenseLightningMaxResistR	Lightning
DefenseLightningModifier	Lightning
DefenseLightningR	Lightning
DefensePhysical	Physical
DefensePhysicalDuration	Trauma
DefensePhysicalDurationModifier	Trauma
DefensePhysicalMaxResist	Physical
DefensePhysicalMaxResistR	Physical
DefensePhysicalModifier	Physical
DefensePhysicalR	Physical
DefensePierce	Pierce
DefensePierceMaxResist	Pierce
DefensePierceMaxResistR	Pierce
DefensePierceModifier	Pierce
DefensePierceR	Pierce
DefensePoison	Acid
DefensePoisonDuration	Poison
DefensePoisonDurationModifier	Poison
DefensePoisonMaxResist	Acid
DefensePoisonMaxResistR	Acid
DefensePoisonModifier	Acid
DefensePoisonR	Acid
ItemAllSkillIncrement	Misc
ItemMasteryIncrement	Misc
RetaliationAether	Aether
RetaliationChaos	Chaos
RetaliationCold	Cold
RetaliationDurationBleeding	Bleeding
RetaliationDurationCold	Frostburn
RetaliationDurationFire	Burn
RetaliationDurationLife	Decay
RetaliationDurationLightning	Electrocute
RetaliationDurationModifierBleeding	Bleeding
RetaliationDurationModifierCold	Frostburn
RetaliationDurationModifierFire	Burn
RetaliationDurationModifierLife	Decay
RetaliationDurationModifierLightning	Electrocute
RetaliationDurationModifierPhysical	Trauma
RetaliationDurationModifierPoison	Poison
RetaliationDurationPhysical	Trauma
RetaliationDurationPoison	Poison
RetaliationElemental	Elemental
RetaliationFire	Fire
RetaliationLife	Vitality
RetaliationLightning	Lightning
RetaliationModifierAether	Aether
RetaliationModifierChaos	Chaos
RetaliationModifierCold	Cold
RetaliationModifierElemental	Elemental
RetaliationModifierFire	Fire
RetaliationModifierLife	Vitality
RetaliationModifierLightning	Lightning
RetaliationModifierPhysical	Physical
RetaliationModifierPierce	Pierce
RetaliationModifierPierceRatio	Pierce
RetaliationModifierPoison	Acid
RetaliationPhysical	Physical
RetaliationPierce	Pierce
RetaliationPoison	Acid
tagCharAttackSpeed	Misc
tagCharAttackSpeedModifier	Misc
tagCharAttackSpeedModifierR	Misc
tagCharAttackSpeedR	Misc
tagCharAttribute01	Attribute
